"FK_Name"	"Table"	"Column"	"Referenced_Table"	"Referenced_Column"
"FKEY0269"	"OPERATION"	"OPERATION_TYPE"	"OPERATION_TYPE"	"ID"
"FKEY0120"	"OPERATION"	"RESOURCE_ID"	"SHOP_RESOURCE"	"ID"
"FKEY0114"	"OPERATION"	"SERVICE_ID"	"SERVICE"	"ID"
"FK_OPER_TO_SITE"	"OPERATION"	"SITE_ID"	"SITE"	"ID"
"FKEY0269"	"OPERATION"	"SITE_ID"	"OPERATION_TYPE"	"SITE_ID"
"FKEY0132"	"OPERATION"	"WORKORDER_BASE_ID"	"WORK_ORDER"	"BASE_ID"
"FKEY0132"	"OPERATION"	"WORKORDER_LOT_ID"	"WORK_ORDER"	"LOT_ID"
"FKEY0132"	"OPERATION"	"WORKORDER_SPLIT_ID"	"WORK_ORDER"	"SPLIT_ID"
"FKEY0132"	"OPERATION"	"WORKORDER_SUB_ID"	"WORK_ORDER"	"SUB_ID"
"FKEY0132"	"OPERATION"	"WORKORDER_TYPE"	"WORK_ORDER"	"TYPE"
