"FK_Name"	"Table"	"Column"	"Referenced_Table"	"Referenced_Column"
"FKEY9332"	"INTRA_SHIPPER_LINE"	"ARRIVAL_CODE"	"PORT_OF_ARRIVAL"	"CODE"
"FK_INTSHP_FROM_CTRY"	"INTRA_SHIPPER_LINE"	"FROM_COUNTRY_ID"	"COUNTRY"	"ID"
"FKEY9339"	"INTRA_SHIPPER_LINE"	"MODE_OF_TRANSPORT"	"MODE_OF_TRANSPORT"	"CODE"
"FKEY9338"	"INTRA_SHIPPER_LINE"	"NATURE_OF_TRANS"	"NATURE_OF_TRANS"	"CODE"
"FK_INTSHP_ORIG_CTRY"	"INTRA_SHIPPER_LINE"	"ORIG_COUNTRY_ID"	"COUNTRY"	"ID"
"FKEY9331"	"INTRA_SHIPPER_LINE"	"PACKLIST_ID"	"SHIPPER_LINE"	"PACKLIST_ID"
"FKEY9331"	"INTRA_SHIPPER_LINE"	"PACKLIST_LINE_NO"	"SHIPPER_LINE"	"LINE_NO"
"FKEY9337"	"INTRA_SHIPPER_LINE"	"REGION_ID"	"REGION"	"ID"
"FKEY9340"	"INTRA_SHIPPER_LINE"	"TARIFF_CODE"	"TARIFF"	"CODE"
"FK_INTSHP_TO_CTRY"	"INTRA_SHIPPER_LINE"	"TO_COUNTRY_ID"	"COUNTRY"	"ID"
"FKEY9333"	"INTRA_SHIPPER_LINE"	"TRANS_CODE"	"PORT_OF_TRANS"	"CODE"
