"FK_Name"	"Table"	"Column"	"Referenced_Table"	"Referenced_Column"
"FK_VFO_00032"	"V_SRVCORD_MTL"	"COMMODITY_CODE"	"COMMODITY"	"CODE"
"FK_VFO_00230"	"V_SRVCORD_MTL"	"LOCATION_ID"	"LOCATION"	"ID"
"FK_VFO_00062"	"V_SRVCORD_MTL"	"PART_ID"	"PART"	"ID"
"FK_VFO_00026"	"V_SRVCORD_MTL"	"REV_GL_ACCT_ID"	"ACCOUNT"	"ID"
"FK_VFO_00072"	"V_SRVCORD_MTL"	"SLS_TAX_GRP_ID"	"SALES_TAX_GROUP"	"ID"
"FK_VFO_00057"	"V_SRVCORD_MTL"	"SRVC_ORDER_ID"	"V_SRVC_ORDER"	"ID"
"FK_VFO_00230"	"V_SRVCORD_MTL"	"WAREHOUSE_ID"	"LOCATION"	"WAREHOUSE_ID"
"FK_VFO_00013"	"V_SRVCORD_MTL"	"WORKORDER_BASE_ID"	"WORK_ORDER"	"BASE_ID"
"FK_VFO_00013"	"V_SRVCORD_MTL"	"WORKORDER_LOT_ID"	"WORK_ORDER"	"LOT_ID"
"FK_VFO_00013"	"V_SRVCORD_MTL"	"WORKORDER_SPLIT_ID"	"WORK_ORDER"	"SPLIT_ID"
"FK_VFO_00013"	"V_SRVCORD_MTL"	"WORKORDER_SUB_ID"	"WORK_ORDER"	"SUB_ID"
"FK_VFO_00013"	"V_SRVCORD_MTL"	"WORKORDER_TYPE"	"WORK_ORDER"	"TYPE"
