"FK_Name"	"Table"	"Column"	"Referenced_Table"	"Referenced_Column"
"FKEY9342"	"INTRA_RECEIVR_LINE"	"ARRIVAL_CODE"	"PORT_OF_ARRIVAL"	"CODE"
"FK_INTREC_FROM_CTRY"	"INTRA_RECEIVR_LINE"	"FROM_COUNTRY_ID"	"COUNTRY"	"ID"
"FKEY9349"	"INTRA_RECEIVR_LINE"	"MODE_OF_TRANSPORT"	"MODE_OF_TRANSPORT"	"CODE"
"FKEY9348"	"INTRA_RECEIVR_LINE"	"NATURE_OF_TRANS"	"NATURE_OF_TRANS"	"CODE"
"FK_INTREC_ORIG_CTRY"	"INTRA_RECEIVR_LINE"	"ORIG_COUNTRY_ID"	"COUNTRY"	"ID"
"FKEY9341"	"INTRA_RECEIVR_LINE"	"RECEIVER_ID"	"RECEIVER_LINE"	"RECEIVER_ID"
"FKEY9341"	"INTRA_RECEIVR_LINE"	"RECEIVER_LINE_NO"	"RECEIVER_LINE"	"LINE_NO"
"FKEY9347"	"INTRA_RECEIVR_LINE"	"REGION_ID"	"REGION"	"ID"
"FKEY9350"	"INTRA_RECEIVR_LINE"	"TARIFF_CODE"	"TARIFF"	"CODE"
"FK_INTREC_TO_CTRY"	"INTRA_RECEIVR_LINE"	"TO_COUNTRY_ID"	"COUNTRY"	"ID"
"FKEY9343"	"INTRA_RECEIVR_LINE"	"TRANS_CODE"	"PORT_OF_TRANS"	"CODE"
