"FK_Name"	"Table"	"Column"	"Referenced_Table"	"Referenced_Column"
"FK_WPRDST_BATCH"	"WIP_RECEIPT_DIST"	"BATCH_ID"	"JOURNAL_BATCH"	"ID"
"FKEY9411"	"WIP_RECEIPT_DIST"	"CURRENCY_ID"	"CURRENCY"	"ID"
"FKEY0195"	"WIP_RECEIPT_DIST"	"GL_ACCOUNT_ID"	"ACCOUNT"	"ID"
"FKEY0006"	"WIP_RECEIPT_DIST"	"SITE_ID"	"SITE"	"ID"
"FK_WPRDST_BATCH"	"WIP_RECEIPT_DIST"	"SITE_ID"	"JOURNAL_BATCH"	"SITE_ID"
