"FK_Name"	"Table"	"Column"	"Referenced_Table"	"Referenced_Column"
"FK_UNP_MNT_CONT_ID"	"UNP_MNT_CALLS"	"CONTACT_ID"	"CONTACT"	"ID"
"FKEY9527"	"UNP_MNT_CALLS"	"customer_id"	"CUSTOMER"	"ID"
"FKEY9526"	"UNP_MNT_CALLS"	"equip_id"	"EQUIPMENT"	"equip_id"
"FKEY9523"	"UNP_MNT_CALLS"	"escalation"	"UNP_MNT_ESCALATION"	"id"
"FKEY9521"	"UNP_MNT_CALLS"	"fault_code"	"UNP_MNT_FAULT_CODE"	"id"
"FKEY9521"	"UNP_MNT_CALLS"	"fault_type"	"UNP_MNT_FAULT_CODE"	"type_id"
"FKEY9524"	"UNP_MNT_CALLS"	"remedy_code"	"UNP_MNT_REM_CODE"	"id"
"FKEY9524"	"UNP_MNT_CALLS"	"remedy_type"	"UNP_MNT_REM_CODE"	"type_id"
"FKEY9525"	"UNP_MNT_CALLS"	"RESOURCE_SELECTED"	"SHOP_RESOURCE"	"ID"
"FKEY9522"	"UNP_MNT_CALLS"	"urgency"	"UNP_MNT_URGENCY"	"id"
