"FK_Name"	"Table"	"Column"	"Referenced_Table"	"Referenced_Column"
"FKEY9316"	"VENDOR"	"ARRIVAL_CODE"	"PORT_OF_ARRIVAL"	"CODE"
"FK_VENDOR_CNTRY"	"VENDOR"	"COUNTRY_ID"	"COUNTRY"	"ID"
"FKEY0058"	"VENDOR"	"CURRENCY_ID"	"CURRENCY"	"ID"
"FKEY0262"	"VENDOR"	"DEF_EXP_GL_ACCT_ID"	"ACCOUNT"	"ID"
"FKEY9465"	"VENDOR"	"DEF_LBL_FORMAT_ID"	"LABEL_FORMAT"	"ID"
"FKEY9628"	"VENDOR"	"DEF_TERMS_ID"	"TERMS"	"ID"
"FKEY9471"	"VENDOR"	"DEF_TRANS_CURRENCY"	"CURRENCY"	"ID"
"FKEY9320"	"VENDOR"	"MODE_OF_TRANSPORT"	"MODE_OF_TRANSPORT"	"CODE"
"FKEY9319"	"VENDOR"	"NATURE_OF_TRANS"	"NATURE_OF_TRANS"	"CODE"
"FKEY9578"	"VENDOR"	"return_trans"	"NATURE_OF_TRANS"	"CODE"
"FKEY9317"	"VENDOR"	"TRANS_CODE"	"PORT_OF_TRANS"	"CODE"
"FK_VEND_GROUP_ID"	"VENDOR"	"VENDOR_GROUP_ID"	"VENDOR_GROUP"	"ID"
"FKEY9321"	"VENDOR"	"WITHHOLDING_CODE"	"WITHHOLDING"	"CODE"
