"FK_Name"	"Table"	"Column"	"Referenced_Table"	"Referenced_Column"
"FKEY9311"	"CUST_ADDRESS"	"ARRIVAL_CODE"	"PORT_OF_ARRIVAL"	"CODE"
"FK_CUST_ADDR_CNTRY"	"CUST_ADDRESS"	"COUNTRY_ID"	"COUNTRY"	"ID"
"FKEY0062"	"CUST_ADDRESS"	"CUSTOMER_ID"	"CUSTOMER"	"ID"
"FKEY9462"	"CUST_ADDRESS"	"DEF_LBL_FORMAT_ID"	"LABEL_FORMAT"	"ID"
"FKEY0043"	"CUST_ADDRESS"	"DEF_SLS_TAX_GRP_ID"	"SALES_TAX_GROUP"	"ID"
"FKEY0070"	"CUST_ADDRESS"	"DISCOUNT_CODE"	"CUSTOMER_DISCOUNT"	"DISCOUNT_CODE"
"FKEY9315"	"CUST_ADDRESS"	"MODE_OF_TRANSPORT"	"MODE_OF_TRANSPORT"	"CODE"
"FKEY9314"	"CUST_ADDRESS"	"NATURE_OF_TRANS"	"NATURE_OF_TRANS"	"CODE"
"FKEY0259"	"CUST_ADDRESS"	"SALESREP_ID"	"SALES_REP"	"ID"
"FKEY9312"	"CUST_ADDRESS"	"TRANS_CODE"	"PORT_OF_TRANS"	"CODE"
