"TableName"	"ColumnName"	"ConstraintName"	"Definition"
"SHOP_RESOURCE"	"AUTO_REPORTING"	"DF__SHOP_RESO__AUTO___04A72768"	"NULL"
"SHOP_RESOURCE"	"EXCLUSIVITY"	"DF__SHOP_RESO__EXCLU__068F6FDA"	"NULL"
"SHOP_RESOURCE"	"SCHEDULE_NORMALLY"	"DF__SHOP_RESO__SCHED__03B3032F"	"NULL"
"SHOP_RESOURCE"	"SHIFT_1_CAPACITY"	"DF__SHOP_RESO__SHIFT__07839413"	"NULL"
"SHOP_RESOURCE"	"SHIFT_2_CAPACITY"	"DF__SHOP_RESO__SHIFT__0877B84C"	"NULL"
"SHOP_RESOURCE"	"SHIFT_3_CAPACITY"	"DF__SHOP_RESO__SHIFT__096BDC85"	"NULL"
"SHOP_RESOURCE"	"STATUS_RANK"	"DF__SHOP_RESO__STATU__0A6000BE"	"NULL"
"SHOP_RESOURCE"	"TYPE"	"DF__SHOP_RESOU__TYPE__059B4BA1"	"NULL"
