"TableName"	"ColumnName"	"ConstraintName"	"Definition"
"TRACE_PROFILE"	"NPROPERTY_3_REQD"	"DF__TRACE_PRO__NPROP__54C30A1C"	"NULL"
"TRACE_PROFILE"	"NPROPERTY_3_VIS"	"DF__TRACE_PRO__NPROP__67D5DE90"	"NULL"
"TRACE_PROFILE"	"NPROPERTY_4_EDIT"	"DF__TRACE_PRO__NPROP__5F40988F"	"NULL"
"TRACE_PROFILE"	"NPROPERTY_4_KNOWN"	"DF__TRACE_PRO__NPROP__0195B093"	"NULL"
"TRACE_PROFILE"	"NPROPERTY_4_REQD"	"DF__TRACE_PRO__NPROP__55B72E55"	"NULL"
"TRACE_PROFILE"	"NPROPERTY_4_VIS"	"DF__TRACE_PRO__NPROP__68CA02C9"	"NULL"
"TRACE_PROFILE"	"NPROPERTY_5_EDIT"	"DF__TRACE_PRO__NPROP__6034BCC8"	"NULL"
"TRACE_PROFILE"	"NPROPERTY_5_KNOWN"	"DF__TRACE_PRO__NPROP__0289D4CC"	"NULL"
"TRACE_PROFILE"	"NPROPERTY_5_REQD"	"DF__TRACE_PRO__NPROP__56AB528E"	"NULL"
"TRACE_PROFILE"	"NPROPERTY_5_VIS"	"DF__TRACE_PRO__NPROP__69BE2702"	"NULL"
"TRACE_PROFILE"	"OWNERSHIP"	"DF__TRACE_PRO__OWNER__6D8EB7E6"	"NULL"
"TRACE_PROFILE"	"OWNERSHIP_KNOWN"	"DF__TRACE_PRO__OWNER__7623FDE7"	"NULL"
"TRACE_PROFILE"	"PRE_ASSIGN"	"DF__TRACE_PRO__PRE_A__4C2DC41B"	"NULL"
"TRACE_PROFILE"	"PRODUCTION"	"DF__TRACE_PRO__PRODU__04721D3E"	"NULL"
"TRACE_PROFILE"	"PRODUCTION_KNOWN"	"DF__TRACE_PRO__PRODU__05664177"	"NULL"
"TRACE_PROFILE"	"RECEIVE_BY"	"DF__TRACE_PRO__RECEI__074E89E9"	"NULL"
"TRACE_PROFILE"	"RECEIVE_BY_KNOWN"	"DF__TRACE_PRO__RECEI__0842AE22"	"NULL"
"TRACE_PROFILE"	"SERIAL"	"DF__TRACE_PRO__SERIA__6F770058"	"NULL"
"TRACE_PROFILE"	"SERIAL_KNOWN"	"DF__TRACE_PRO__SERIA__780C4659"	"NULL"
"TRACE_PROFILE"	"SHIP_BY"	"DF__TRACE_PRO__SHIP___0D07633F"	"NULL"
"TRACE_PROFILE"	"SHIP_BY_KNOWN"	"DF__TRACE_PRO__SHIP___0DFB8778"	"NULL"
