"TableName"	"ColumnName"	"ConstraintName"	"Definition"
"RECEIVER_LINE_DEL"	"RECEIVED_QTY"	"DF__RECEIVER___RECEI__132A50E9"	"NULL"
"RECEIVER_LINE_DEL"	"USER_RECEIVED_QTY"	"DF__RECEIVER___USER___12362CB0"	"NULL"
