"TableName"	"ColumnName"	"ConstraintName"	"Definition"
"V_CONTR_BINARY"	"BITS_LENGTH"	"DF__V_CONTR_B__BITS___3DAA9A9A"	"NULL"
"V_CONTR_BINARY"	"TYPE"	"DF__V_CONTR_BI__TYPE__3CB67661"	"NULL"
