"TableName"	"ColumnName"	"ConstraintName"	"Definition"
"OPERATION"	"ACT_ATL_BUR_COST"	"DF__OPERATION__ACT_A__12A04104"	"NULL"
"OPERATION"	"ACT_ATL_LAB_COST"	"DF__OPERATION__ACT_A__11AC1CCB"	"NULL"
"OPERATION"	"ACT_ATL_SER_COST"	"DF__OPERATION__ACT_A__1394653D"	"NULL"
"OPERATION"	"ACT_RUN_HRS"	"DF__OPERATION__ACT_R__7CB0FFE5"	"NULL"
"OPERATION"	"ACT_SETUP_HRS"	"DF__OPERATION__ACT_S__7BBCDBAC"	"NULL"
"OPERATION"	"ACT_TTL_BUR_COST"	"DF__OPERATION__ACT_T__1E11F3B0"	"NULL"
"OPERATION"	"ACT_TTL_LAB_COST"	"DF__OPERATION__ACT_T__1D1DCF77"	"NULL"
"OPERATION"	"ACT_TTL_MAT_COST"	"DF__OPERATION__ACT_T__1C29AB3E"	"NULL"
"OPERATION"	"ACT_TTL_SER_COST"	"DF__OPERATION__ACT_T__1F0617E9"	"NULL"
"OPERATION"	"ALLOCATED_QTY"	"DF__OPERATION__ALLOC__23CACD06"	"NULL"
"OPERATION"	"BEGIN_TRACEABILITY"	"DF__OPERATION__BEGIN__008190C9"	"NULL"
"OPERATION"	"BUR_PER_HR_RUN"	"DF__OPERATION__BUR_P__063A6A1F"	"NULL"
"OPERATION"	"BUR_PER_HR_SETUP"	"DF__OPERATION__BUR_P__054645E6"	"NULL"
"OPERATION"	"BUR_PER_OPERATION"	"DF__OPERATION__BUR_P__0AFF1F3C"	"NULL"
"OPERATION"	"BUR_PER_UNIT_RUN"	"DF__OPERATION__BUR_P__072E8E58"	"NULL"
"OPERATION"	"BUR_PERCENT_RUN"	"DF__OPERATION__BUR_P__0A0AFB03"	"NULL"
"OPERATION"	"BUR_PERCENT_SETUP"	"DF__OPERATION__BUR_P__0916D6CA"	"NULL"
"OPERATION"	"COMPLETED_QTY"	"DF__OPERATION__COMPL__79D4933A"	"NULL"
"OPERATION"	"DEVIATED_QTY"	"DF__OPERATION__DEVIA__7AC8B773"	"NULL"
"OPERATION"	"DISPATCH_SEQUENCE"	"DF__OPERATION__DISPA__2F7D422B"	"NULL"
"OPERATION"	"DISPATCHED_QTY"	"DF__OPERATION__DISPA__21E28494"	"NULL"
"OPERATION"	"EST_ATL_BUR_COST"	"DF__OPERATION__EST_A__0CE767AE"	"NULL"
"OPERATION"	"EST_ATL_LAB_COST"	"DF__OPERATION__EST_A__0BF34375"	"NULL"
"OPERATION"	"EST_ATL_SER_COST"	"DF__OPERATION__EST_A__0DDB8BE7"	"NULL"
"OPERATION"	"EST_TTL_BUR_COST"	"DF__OPERATION__EST_T__1670D1E8"	"NULL"
"OPERATION"	"EST_TTL_LAB_COST"	"DF__OPERATION__EST_T__157CADAF"	"NULL"
"OPERATION"	"EST_TTL_MAT_COST"	"DF__OPERATION__EST_T__14888976"	"NULL"
"OPERATION"	"EST_TTL_SER_COST"	"DF__OPERATION__EST_T__1764F621"	"NULL"
"OPERATION"	"FIXED_SCRAP_UNITS"	"DF__OPERATION__FIXED__78E06F01"	"NULL"
"OPERATION"	"FULFILLED_QTY"	"DF__OPERATION__FULFI__24BEF13F"	"NULL"
"OPERATION"	"ISDETERMINANT"	"DF__OPERATION__ISDET__0175B502"	"NULL"
"OPERATION"	"MAX_QTY_COMPLETE"	"DF__OPERATION__MAX_Q__2E891DF2"	"NULL"
"OPERATION"	"OVERLAP_SETUP"	"DF__OPERATION__OVERL__2E692261"	"NULL"
"OPERATION"	"OVERRIDE_QTYS"	"DF__OPERATION__OVERR__7F8D6C90"	"NULL"
"OPERATION"	"PERCENT_COMPL"	"DF__OPERATION__PERCE__2CA0D580"	"NULL"
"OPERATION"	"PROTECT_COST"	"DF__OPERATION__PROTE__20EE605B"	"NULL"
"OPERATION"	"QTY_COMPL_BY_HRS"	"DF__OPERATION__QTY_C__2D94F9B9"	"NULL"
"OPERATION"	"REM_ATL_BUR_COST"	"DF__OPERATION__REM_A__0FC3D459"	"NULL"
"OPERATION"	"REM_ATL_LAB_COST"	"DF__OPERATION__REM_A__0ECFB020"	"NULL"
"OPERATION"	"REM_ATL_SER_COST"	"DF__OPERATION__REM_A__10B7F892"	"NULL"
"OPERATION"	"REM_TTL_BUR_COST"	"DF__OPERATION__REM_T__1A4162CC"	"NULL"
"OPERATION"	"REM_TTL_LAB_COST"	"DF__OPERATION__REM_T__194D3E93"	"NULL"
"OPERATION"	"REM_TTL_MAT_COST"	"DF__OPERATION__REM_T__18591A5A"	"NULL"
"OPERATION"	"REM_TTL_SER_COST"	"DF__OPERATION__REM_T__1B358705"	"NULL"
"OPERATION"	"RUN_COST_PER_HR"	"DF__OPERATION__RUN_C__035DFD74"	"NULL"
"OPERATION"	"RUN_COST_PER_UNIT"	"DF__OPERATION__RUN_C__045221AD"	"NULL"
"OPERATION"	"SCRAP_YIELD_TYPE"	"DF__OPERATION__SCRAP__77EC4AC8"	"NULL"
"OPERATION"	"SERVICE_BASE_CHG"	"DF__OPERATION__SERVI__0822B291"	"NULL"
"OPERATION"	"SERVICE_MIN_CHG"	"DF__OPERATION__SERVI__22D6A8CD"	"NULL"
"OPERATION"	"SETUP_COMPLETED"	"DF__OPERATION__SETUP__7E994857"	"NULL"
"OPERATION"	"SETUP_COST_PER_HR"	"DF__OPERATION__SETUP__0269D93B"	"NULL"
"OPERATION"	"SPLIT_ADJUSTMENT"	"DF__OPERATION__SPLIT__1FFA3C22"	"NULL"
"OPERATION"	"STATUS"	"DF__OPERATION__STATU__7DA5241E"	"NULL"
"OPERATION"	"STATUS_EFF_DATE"	"DF__OPERATION__STATU__25B31578"	"NULL"
