"TableName"	"TriggerName"	"TriggerType"	"IsInsteadOfTrigger"	"IsDisabled"	"TriggerEvent"
"PROJECT_DIST"	"DELETE_PROJECT_DIST"	"SQL_TRIGGER"	"NO"	"NO"	"DELETE"
"PROJECT_DIST"	"INSERT_PROJECT_DIST"	"SQL_TRIGGER"	"NO"	"NO"	"INSERT"
"PROJECT_DIST"	"UPDATE_PROJECT_DIST"	"SQL_TRIGGER"	"NO"	"NO"	"UPDATE"
