"TableName"	"TriggerName"	"TriggerType"	"IsInsteadOfTrigger"	"IsDisabled"	"TriggerEvent"
"RFQ_VENDOR_QUOTE"	"INSERT_RFQ_VENDOR_QUOTE"	"SQL_TRIGGER"	"NO"	"NO"	"INSERT"
"RFQ_VENDOR_QUOTE"	"UPDATE_RFQ_VENDOR_QUOTE"	"SQL_TRIGGER"	"NO"	"NO"	"UPDATE"
