"TableName"	"TriggerName"	"TriggerType"	"IsInsteadOfTrigger"	"IsDisabled"	"TriggerEvent"
"SCHEDULE"	"INSERT_SCHEDULE"	"SQL_TRIGGER"	"NO"	"NO"	"INSERT"
"SCHEDULE"	"UPDATE_SCHEDULE"	"SQL_TRIGGER"	"NO"	"NO"	"UPDATE"
