"TableName"	"ConstraintName"	"ColumnName"	"KeyOrdinal"
"EC_LINE"	"X_EC_LINE_1"	"EC_ID"	"1"
"EC_LINE"	"X_EC_LINE_1"	"TYPE"	"2"
"EC_LINE"	"X_EC_LINE_1"	"LINE_NO"	"3"
"EC_LINE"	"X_EC_LINE_2"	"EC_ID"	"1"
"EC_LINE"	"X_EC_LINE_2"	"WO_TYPE"	"2"
"EC_LINE"	"X_EC_LINE_2"	"WO_BASE_ID"	"3"
"EC_LINE"	"X_EC_LINE_2"	"WO_LOT_ID"	"4"
"EC_LINE"	"X_EC_LINE_2"	"WO_SPLIT_ID"	"5"
"EC_LINE"	"X_EC_LINE_2"	"LINE_NO"	"6"
"EC_LINE"	"X_EC_LINE_3"	"EC_ID"	"1"
"EC_LINE"	"X_EC_LINE_3"	"PART_ID"	"2"
"EC_LINE"	"X_EC_LINE_3"	"LINE_NO"	"3"
"EC_LINE"	"X_EC_LINE_4"	"EC_ID"	"1"
"EC_LINE"	"X_EC_LINE_4"	"DOC_ID"	"2"
"EC_LINE"	"X_EC_LINE_4"	"LINE_NO"	"3"
"EC_LINE"	"X_EC_LINE_5"	"EC_ID"	"1"
"EC_LINE"	"X_EC_LINE_5"	"LINKED_EC_ID"	"2"
"EC_LINE"	"X_EC_LINE_5"	"LINE_NO"	"3"
