"TableName"	"ConstraintName"	"ColumnName"	"KeyOrdinal"
"DEMAND_SUPPLY_LINK"	"X_DEMAND_SUPPLY_1"	"DEMAND_TYPE"	"1"
"DEMAND_SUPPLY_LINK"	"X_DEMAND_SUPPLY_1"	"DEMAND_BASE_ID"	"2"
"DEMAND_SUPPLY_LINK"	"X_DEMAND_SUPPLY_1"	"DEMAND_LOT_ID"	"3"
"DEMAND_SUPPLY_LINK"	"X_DEMAND_SUPPLY_1"	"DEMAND_SPLIT_ID"	"4"
"DEMAND_SUPPLY_LINK"	"X_DEMAND_SUPPLY_1"	"DEMAND_SUB_ID"	"5"
"DEMAND_SUPPLY_LINK"	"X_DEMAND_SUPPLY_1"	"DEMAND_SEQ_NO"	"6"
"DEMAND_SUPPLY_LINK"	"X_DEMAND_SUPPLY_1"	"DEMAND_NO"	"7"
"DEMAND_SUPPLY_LINK"	"X_DEMAND_SUPPLY_1"	"SUPPLY_TYPE"	"8"
"DEMAND_SUPPLY_LINK"	"X_DEMAND_SUPPLY_1"	"SUPPLY_BASE_ID"	"9"
"DEMAND_SUPPLY_LINK"	"X_DEMAND_SUPPLY_1"	"SUPPLY_LOT_ID"	"10"
"DEMAND_SUPPLY_LINK"	"X_DEMAND_SUPPLY_1"	"SUPPLY_SPLIT_ID"	"11"
"DEMAND_SUPPLY_LINK"	"X_DEMAND_SUPPLY_1"	"SUPPLY_SUB_ID"	"12"
"DEMAND_SUPPLY_LINK"	"X_DEMAND_SUPPLY_1"	"SUPPLY_SEQ_NO"	"13"
"DEMAND_SUPPLY_LINK"	"X_DEMAND_SUPPLY_1"	"SUPPLY_NO"	"14"
"DEMAND_SUPPLY_LINK"	"X_DEMAND_SUPPLY_1"	"SUPPLY_PART_ID"	"15"
"DEMAND_SUPPLY_LINK"	"X_DEMAND_SUPPLY_3"	"SUPPLY_TYPE"	"1"
"DEMAND_SUPPLY_LINK"	"X_DEMAND_SUPPLY_3"	"SUPPLY_BASE_ID"	"2"
"DEMAND_SUPPLY_LINK"	"X_DEMAND_SUPPLY_3"	"SUPPLY_LOT_ID"	"3"
"DEMAND_SUPPLY_LINK"	"X_DEMAND_SUPPLY_3"	"SUPPLY_SPLIT_ID"	"4"
"DEMAND_SUPPLY_LINK"	"X_DEMAND_SUPPLY_3"	"SUPPLY_SUB_ID"	"5"
"DEMAND_SUPPLY_LINK"	"X_DEMAND_SUPPLY_3"	"SUPPLY_SEQ_NO"	"6"
"DEMAND_SUPPLY_LINK"	"X_DEMAND_SUPPLY_3"	"SUPPLY_NO"	"7"
"DEMAND_SUPPLY_LINK"	"X_DEMAND_SUPPLY_3"	"ID"	"8"
