"TableName"	"ConstraintName"	"ColumnName"	"KeyOrdinal"
"USAGE_ANALYSIS"	"X_USAGE_ANALYSIS_0"	"SITE_ID"	"1"
"USAGE_ANALYSIS"	"X_USAGE_ANALYSIS_0"	"PART_ID"	"2"
