"TableName"	"IndexName"	"IndexType"	"IsUnique"	"IsPrimaryKey"	"ColumnName"	"KeyOrdinal"	"IsIncludedColumn"
"SHIPTO_ADDRESS"	"PK_SHIPTO_ADDRESS"	"CLUSTERED"	"YES"	"YES"	"ADDR_NO"	"1"	"NO"
"SHIPTO_ADDRESS"	"X_SHIPTO_ADDRESS_1"	"NONCLUSTERED"	"NO"	"NO"	"NAME"	"1"	"NO"
"SHIPTO_ADDRESS"	"X_SHIPTO_ADDRESS_2"	"NONCLUSTERED"	"NO"	"NO"	"CITY"	"1"	"NO"
"SHIPTO_ADDRESS"	"X_SHIPTO_ADDRESS_2"	"NONCLUSTERED"	"NO"	"NO"	"STATE"	"2"	"NO"
"SHIPTO_ADDRESS"	"X_SHIPTO_ADDRESS_2"	"NONCLUSTERED"	"NO"	"NO"	"ZIPCODE"	"3"	"NO"
